"effect_id";"lit_id";"authors";"taxon";"tax_group";"year";"t_abund";"t_abund_sd";"c_abund";"c_abund_sd";"t_rich";"t_rich_sd";"c_rich";"c_rich_sd";"t_sites";"c_sites";"aes_age";"plant_rich";"land_div";"tas_mean";"tas_winter";"pr_sum";"pr_winter"
"145";"233";"Meek et al.";"carabidae";"beetles";2000;245.3;153.745630516633;11.7;12.853491278669;20.8;3.45951406852269;11.7;2.08425148631447;4;4;1;25;0;9.4791667;5.67;996.43;238.5325
"146";"233";"Meek et al.";"others";"spiders";2000;494.8;266.90335295317;176.3;92.5058794402247;16.8;2.20732633109391;15.3;2.69438429986623;4;4;1;25;0;9.4791667;5.67;996.43;238.5325
"147";"303";"Galle & Batary et al. ";"carabidae";"beetles";2016;253.3;182.6;208.3;72.6;25.5;4.3;21.1;4.3;10;10;1;5;0.44316926766498;9.7314583;4.5815;659.39625;353.79575
"148";"303";"Galle & Batary et al. ";"carabidae";"beetles";2017;204.3;145.6;219.1;205.5;21.2;4.2;18.6;7.3;10;10;1;5;0.44316926766498;9.5847917;2.9475;922.874;217.58125
"149";"303";"Galle & Batary et al. ";"others";"spiders";2016;131.8;69.8;109.2;127.3;24.5;6.3;20.5;10;10;10;1;5;0.44316926766498;9.7314583;4.5815;659.39625;353.79575
"150";"303";"Galle & Batary et al. ";"others";"spiders";2017;79.1;36;81.3;51.1;24.6;9.5;21.2;5.6;10;10;1;5;0.44316926766498;9.5847917;2.9475;922.874;217.58125
"151";"305";"Vajna et al.";"others";"spiders";2022;0.6;0.4;0.7;0.7;0.4;0.3;0.9;0.9;8;8;3;32;0.430796790487245;12;3.39;433;145.8
"152";"304";"Grabener et al.";"carabidae";"beetles";2017;343.8;267.9;280;215.4;42.3;19;30.7;16;10;10;1;21;0.757211833471661;9.7289683;3.3433333;960.4280952;290.9757143
"153";"304";"Grabener et al.";"carabidae";"beetles";2018;939.1;601.9;277.6;158.7;30;9.4;24.1;11.7;10;10;1;21;0.757211833471661;10.6321429;2.7242857;521.5671429;322.237619
"154";"220";"Gayer et al.";"carabidae";"beetles";2016;791;532.9;257.3;131.5;18.5;3.3;13;3;6;6;1;17;0.457946277602859;7.9775253;3.1306061;909.5530303;327.5230303
"155";"220";"Gayer et al.";"carabidae";"beetles";2017;494.2;149.3;408.3;487.2;13.7;3;11.7;2.7;6;6;1;17;0.457946277602859;8.2227273;1.3190909;952.3057576;191.4160606
"156";"220";"Gayer et al.";"carabidae";"beetles";2018;627.8;354.3;437;210.9;18.7;4.2;15.5;4.2;6;6;1;17;0.457946277602859;9.0598485;0.9487879;731.2521212;358.8945455
"157";"220";"Gayer et al.";"others";"spiders";2017;168;71.1;397.3;198.1;14.8;1.5;17.8;2.7;6;5;1;17;0.457946277602859;8.2227273;1.3190909;952.3057576;191.4160606
"158";"220";"Gayer et al.";"others";"spiders";2018;552.4;137.7;484.6;253.2;16.6;1.7;17.2;2;6;5;1;17;0.457946277602859;9.0598485;0.9487879;731.2521212;358.8945455
"159";"133";"Mateos-Fierro et al.";"araneae";"spiders";2017;0.4;0.5;0;0;NA;NA;NA;NA;8;8;NA;8;0;10.1541667;5.825;754.2475;353.175
"160";"133";"Mateos-Fierro et al.";"araneae";"spiders";2018;0;0;0.6;0.9;NA;NA;NA;NA;8;8;NA;8;0;10.0395833;4.53;850.1575;437.245
"161";"133";"Mateos-Fierro et al.";"araneae";"spiders";2019;3;3.4;0.8;0.5;NA;NA;NA;NA;8;8;NA;8;0;9.8729167;6.47;939.4;349.215
"162";"133";"Mateos-Fierro et al.";"carabidae";"beetles";2017;9.8;5.1;5.6;5.5;NA;NA;NA;NA;8;8;NA;8;0;10.1541667;5.825;754.2475;353.175
"163";"133";"Mateos-Fierro et al.";"carabidae";"beetles";2018;11.8;14.3;8.8;12;NA;NA;NA;NA;8;8;NA;8;0;10.0395833;4.53;850.1575;437.245
"164";"133";"Mateos-Fierro et al.";"carabidae";"beetles";2019;14.8;11.2;14.5;14.3;NA;NA;NA;NA;8;8;NA;8;0;9.8729167;6.47;939.4;349.215
"165";"133";"Mateos-Fierro et al.";"coccinellidae";"beetles";2017;1.8;1.6;1;1.7;NA;NA;NA;NA;8;8;NA;8;0;10.1541667;5.825;754.2475;353.175
"166";"133";"Mateos-Fierro et al.";"coccinellidae";"beetles";2018;5.6;5.4;1.4;1.5;NA;NA;NA;NA;8;8;NA;8;0;10.0395833;4.53;850.1575;437.245
"167";"133";"Mateos-Fierro et al.";"coccinellidae";"beetles";2019;4.3;5.3;2.3;3.3;NA;NA;NA;NA;8;8;NA;8;0;9.8729167;6.47;939.4;349.215
"168";"133";"Mateos-Fierro et al.";"linyphiidae";"spiders";2017;16.6;7.4;26.6;8;NA;NA;NA;NA;8;8;NA;8;0;10.1541667;5.825;754.2475;353.175
"169";"133";"Mateos-Fierro et al.";"linyphiidae";"spiders";2018;48;20.2;27.8;12.9;NA;NA;NA;NA;8;8;NA;8;0;10.0395833;4.53;850.1575;437.245
"170";"133";"Mateos-Fierro et al.";"linyphiidae";"spiders";2019;147.5;80.3;51;23.2;NA;NA;NA;NA;8;8;NA;8;0;9.8729167;6.47;939.4;349.215
"171";"133";"Mateos-Fierro et al.";"lycosidae";"spiders";2017;2;0.7;0.6;0.9;NA;NA;NA;NA;8;8;NA;8;0;10.1541667;5.825;754.2475;353.175
"172";"133";"Mateos-Fierro et al.";"lycosidae";"spiders";2018;4.4;3.6;2;2.9;NA;NA;NA;NA;8;8;NA;8;0;10.0395833;4.53;850.1575;437.245
"173";"133";"Mateos-Fierro et al.";"lycosidae";"spiders";2019;4.5;4.1;2.8;1;NA;NA;NA;NA;8;8;NA;8;0;9.8729167;6.47;939.4;349.215
"174";"133";"Mateos-Fierro et al.";"staphylinidae";"beetles";2017;15.8;6.4;21.2;4.5;NA;NA;NA;NA;8;8;NA;8;0;10.1541667;5.825;754.2475;353.175
"175";"133";"Mateos-Fierro et al.";"staphylinidae";"beetles";2018;14;6.7;12.4;5.9;NA;NA;NA;NA;8;8;NA;8;0;10.0395833;4.53;850.1575;437.245
"176";"133";"Mateos-Fierro et al.";"staphylinidae";"beetles";2019;53;41.1;40;3.3;NA;NA;NA;NA;8;8;NA;8;0;9.8729167;6.47;939.4;349.215
"177";"133";"Mateos-Fierro et al.";"others";"spiders";2017;0;0;0;0;NA;NA;NA;NA;8;8;NA;8;0;10.1541667;5.825;754.2475;353.175
"178";"133";"Mateos-Fierro et al.";"others";"spiders";2018;0;0;0.4;0.9;NA;NA;NA;NA;8;8;NA;8;0;10.0395833;4.53;850.1575;437.245
"179";"133";"Mateos-Fierro et al.";"others";"spiders";2019;0;0;0.3;0.5;NA;NA;NA;NA;8;8;NA;8;0;9.8729167;6.47;939.4;349.215
"180";"133";"Mateos-Fierro et al.";"others";"spiders";2017;0.2;0.4;0;0;NA;NA;NA;NA;8;8;NA;8;0;10.1541667;5.825;754.2475;353.175
"181";"133";"Mateos-Fierro et al.";"others";"spiders";2018;0.2;0.4;0.6;1.3;NA;NA;NA;NA;8;8;NA;8;0;10.0395833;4.53;850.1575;437.245
"182";"133";"Mateos-Fierro et al.";"others";"spiders";2019;23.3;15.3;7.3;6.7;NA;NA;NA;NA;8;8;NA;8;0;9.8729167;6.47;939.4;349.215
"183";"133";"Mateos-Fierro et al.";"others";"spiders";2017;0;0;0;0;NA;NA;NA;NA;8;8;NA;8;0;10.1541667;5.825;754.2475;353.175
"184";"133";"Mateos-Fierro et al.";"others";"spiders";2018;0.4;0.9;0;0;NA;NA;NA;NA;8;8;NA;8;0;10.0395833;4.53;850.1575;437.245
"185";"133";"Mateos-Fierro et al.";"others";"spiders";2019;0.3;0.5;0.8;1.5;NA;NA;NA;NA;8;8;NA;8;0;9.8729167;6.47;939.4;349.215
